A,a
Á,ɔ
E,ɛ
I,ɪ
Í,ʊi
O,ɔ
Ó,œ
U,ʊ
Ú,ʏ
Y,ɪ
Ý,ʊi
Æ,a
Ø,œ
E,ai
a,a
á,ɔ
e,ɛ
i,ɪ
í,ʊi
o,ɔ
ó,œ
u,ʊ
ú,ʏ
y,ɪ
ý,ʊi
æ,a
ø,œ
i,ai
B,p
D,t
Ð,j
F,f
G,k
H,h
J,j
K,kʰ
L,l
M,m
N,n
P,pʰ
R,ɹ
S,s
T,tʰ
V,v
b,p
d,t
ð,j
f,f
g,k
h,h
j,j
k,kʰ
l,l
m,m
n,n
p,pʰ
r,ɹ
s,s
t,tʰ
v,v
